id,kind,qa_id,path_id,question,reference_answer,model_answer,exact_match,token_f1,rouge_l,refusal,empty,invalid,answer_words,latency_ms,failure_category,error
"exact_01","exact_sft","qa_000938","direct_notebook_chat","Could you tell me what leave, absence, or emergency procedures are described during industrial training?","Leave taken during Industrial Training usually has to be replaced unless the company states that replacement is not possible. Approved sick leave does not need to be replaced, but the medical certificate and the company supervisor's approval must be included in the logbook.","The industrial training handbook states that students must notify their institution immediately in case of any leave, absence, or emergency during the training period. Students are required to provide a written explanation and supporting documents, if applicable, to the Training Coordinator. Prolonged absences may result in the suspension or termination of the training placement.","0","0.3061","0.2041","false","false","false","54","3153","fail_low_f1",""
"exact_02","exact_sft","qa_000744","direct_notebook_chat","Could you tell me what graduate capabilities or professional strengths does Master of Software Engineering (Software Technology) aim to develop?","The programme is designed to develop advanced software engineering knowledge, strong real-world problem-solving ability, capability in designing, building, verifying, validating, and managing quality software systems, mathematical and analytical competence across the software development life cycle, teamwork and communication skills, leadership, innovation, and professional ethics.","The Master of Software Engineering (Software Technology) programme aims to develop graduate capabilities and professional strengths such as advanced technical skills in software engineering, systems design, and software development methodologies. It also focuses on enhancing problem-solving abilities, critical thinking, and innovation in software technology. Graduates are expected to demonstrate leadership, ethical practice, and the ability to apply theoretical knowledge to real-world software challenges.","0","0.4865","0.2523","false","false","false","65","2021","fail_low_f1",""
"exact_03","exact_sft","qa_000747","direct_notebook_chat","Could you tell me what academic or administrative conditions are highlighted under candidature requirements for Master of Software Engineering (Software Technology)?","The candidature requirements include Fulfil the minimum candidature duration of 4 semesters.; Fulfil the University language requirement (Bahasa Malaysia and English) not later than the second (2nd) semester of candidature.; Fulfil the residential requirement of 6 months.; Proposal Defence at the beginning of the research component registration.; Present research progress in a Candidature Defence session as required by the Faculty.","The candidature requirements for the Master of Software Engineering (Software Technology) at the Faculty of Computer Science and Information Technology, Universiti Malaya, highlight the following academic and administrative conditions: 1. A bachelor's degree with a minimum Second Class Honours (Upper Division) or equivalent in a relevant discipline, such as Computer Science, Software Engineering, Information Technology, or a related field. 2. Relevant work experience may be considered in lieu of, or in addition to, the academic qualification, subject to approval by the Programme Director. 3. Proficiency in English, demonstrated through a minimum TOEFL iBT score of 550 (paper-based) or 80 (internet-based), or IELTS Academic Band Score of 6.0, or equivalent. 4. Submission of","0","0.2727","0.1591","false","false","false","116","3356","fail_low_f1",""
"exact_04","exact_sft","qa_000004","direct_notebook_chat","What is the academic calendar for master and doctorate level in session 2025/2026?","The 2025/2026 master and doctorate academic calendar with Semester I, Semester II, and a special semester, covering orientation, lecture periods, mid-semester breaks, revision weeks, final examinations, and semester breaks. Semester I: Orientation (WOW) 05.10.2025-12.10.2025; lectures 13.10.2025-23.11.2025 and 01.12.2025-25.01.2026; mid-semester break 24.11.2025-30.11.2025; revision week 26.01.2026-01.02.2026; final examination 02.02.2026-22.02.2026; semester break 23.02.2026-08.03.2026. Semester II: lectures 09.03.2026-26.04.2026 and 04.05.2026-21.06.2026; break 27.04.2026-03.05.2026; revision week 22.06.2026-28.06.2026; final examination 29.06.2026-19.07.2026; semester break 20.07.2026-16.08.2026. Special semester: lectures 27.07.2026-13.09.2026; final examination 14.09.2026-20.09.2026; break 21.09.2026-28.09.2026. Public holidays listed include Deepavali, Christmas, New Year, Thaipusam, Federal Territory Day, Chinese New Year, Nuzul Al-Quran, Eidul Fitri, Labour Day, Eidul Adha, Wesak Day, His Majesty the King's Birthday, Awal Muharram, Prophet Muhammad's Birthday, National Day, and Malaysia Day. The notes state that the module registration and examination schedule can be referred to in the UM system guide, the calendar is subject to change, and UM PG iFest 2026 is scheduled for 09-11 June 2026.","The academic calendar for master and doctorate levels for the session 2025/2026 at the Faculty of Computer Science and Information Technology, Universiti Malaya, follows the standard semester system with two semesters per academic year: Semester I (August to December) and Semester II (January to June). Specific dates for registration, coursework, examinations, and graduation are announced annually in the official academic calendar published by the university. For precise dates, please refer to the official academic calendar on the Faculty's website or contact the Academic Office.","0","0.2031","0.1046","false","false","false","86","2526","fail_low_f1",""
"exact_05","exact_sft","qa_000916","direct_notebook_chat","Hey, what elective focus areas are represented under specialization elective courses - computer system and network?","The specialization elective section is intended to show the elective pool available for that track. Students should use it as a selection list of approved elective options, checking the course code, title, credits, and semester/level planning shown in the curriculum table before choosing courses.","The specialization elective courses in Computer System and Network include focus areas such as Distributed Systems, Network Security, Cloud Computing, and High Performance Computing.","0","0.2029","0.1449","false","false","false","24","1224","fail_low_f1",""
"exact_06","exact_sft","qa_000165","direct_notebook_chat","What is stated about the VLSI Research Lab and its access conditions?","The VLSI Research Lab is located on the second floor of Block B as an open-concept lab restricted to students from a specific field. All students can use its space and facilities with permission.","The VLSI Research Lab is available to students and faculty members who are enrolled in relevant courses or research projects related to Very Large Scale Integration. Access to the lab requires prior approval from the lab supervisor and adherence to the lab's operational guidelines as outlined in the Faculty Handbook.","0","0.2791","0.2093","false","false","false","51","1633","fail_low_f1",""
"exact_07","exact_sft","qa_000453","direct_notebook_chat","Real quick, what courses and course contents are listed for Master of Software Engineering (Software Technology)?","The listed core courses are WOX7001 Research Methodology, WOC7004 Architecting Software Systems, WOC7014 Framework Based Software Design and Development, WOC7015 Software Verification and Validation, WOC7016 Software Project Management, and dissertation components. The elective list includes WOC7017 Big Data Processing, WOC7018 Requirements Engineering, WOC7019 User Experience Design Studio, WOC7020 Advanced Internet of Things, WOA7015 Advanced Machine Learning, and WOA7017 Security Risk Analysis and Evaluation. The handbook also includes important dissertation rules on eligibility, repeat registration until completion, and supervisor appointment.","The Master of Software Engineering (Software Technology) program at the Faculty of Computer Science and Information Technology, Universiti Malaya includes the following courses and course contents: 1. **Advanced Software Engineering** – Focuses on advanced software development methodologies, software architecture, and quality assurance. 2. **Software Testing and Quality Assurance** – Covers testing strategies, quality metrics, and assurance techniques in software development. 3. **Software Project Management** – Explores project planning, risk management, and team leadership in software projects. 4. **Software Engineering Research Methods** – Introduces research methodologies, literature review, and academic writing for software engineering research. 5. **Distributed Systems and Cloud Computing** – Examines distributed systems, cloud computing architectures, and their applications in software engineering. 6. **Software","0","0.2751","0.1587","false","false","false","110","3288","fail_low_f1",""
"exact_08","exact_sft","qa_000939","direct_notebook_chat","Could you explain how are placements approved or verified by the faculty before industrial training begins?","Before training begins, students must attend the required briefing and preparatory workshops, choose one placement, obtain an offer letter that states the training dates, general tasks, and department placement, email that offer letter to the Industrial Training Department Coordinator for approval, and register the internship placement in Maya and the career portal with the required documents.","Placements are approved or verified by the Faculty of Computer Science and Information Technology through a formal process outlined in the Industrial Training Handbook. Students must submit a placement proposal, including the name of the organization, job description, and supervisor details. The proposal is reviewed and approved by the Industrial Training Coordinator, ensuring the placement meets academic and professional standards. Verification is conducted via a site visit or confirmation from the organization’s supervisor, as specified in the handbook.","0","0.2815","0.237","false","false","false","79","2207","fail_low_f1",""
"exact_09","exact_sft","qa_001006","direct_notebook_chat","So basically, how can students interpret their results using the official university grading scheme?","Students interpret their results by referring to the official grading table, which links the marks obtained to a grade, a grade point, and the corresponding academic interpretation.","Students can interpret their results by referring to the official university grading scheme provided in the Academic Handbook. Each grade corresponds to a specific range of marks, and the description of each grade outlines the level of performance expected. For example, a grade of ""A"" typically indicates excellent performance, while a grade of ""D"" indicates satisfactory performance. Students should consult the specific grading scale in the Academic Handbook for accurate interpretation of their results.","0","0.4158","0.3762","false","false","false","74","2118","fail_low_f1",""
"exact_10","exact_sft","qa_000963","direct_notebook_chat","Could you tell me what deliverables are required for Academic Project II besides the written report?","Besides the written report, Academic Project II requires project-progress documentation and submission materials through the ilmiah system for viva and final assessment, including items such as the progress logbook, presentation materials, and other required project submissions.","The deliverables required for Academic Project II, besides the written report, include the project proposal, progress report, oral presentation, and a working prototype or product, as specified in the Faculty Handbook.","0","0.4706","0.2647","false","false","false","31","1399","fail_low_f1",""
